title	description	start_date	end_date	link	image	category	location
Candlelight: Queen vs ABBA	⭐ Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like never seen before in Bengaluru. Get your tickets now to discover the music of...	-	-	https://liveyourcity.com/m/286336	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1DaMv0KFajo1zihYm3FjCReQvmpRt74Vdt-d6ISPAHg&s=10	concerts	Alliance Française de Bangalore, Thimmaiah Rd, opposite UNI, Vasanth Nagar, Bengaluru, Karnataka, India
Candlelight: Tribute to A.R. Rahman	â­ New to India, Candlelight Concerts offer a musical experience beyond the ordinary. Join us in Bengaluru at Hyatt Centric Hebbal Bengaluru for a captivating Candlelight: Tribute to A.R. Rahman...	-	-	https://internationalexhibitions.in/entertainmentevents/candlelight-tribute-to-a-r-rahman-8/	-	concerts	43/4, Hyatt Centric Hebbal Bengaluru, Bellary Rd, Bengaluru, Karnataka, India
Matthew Ifield	Find tickets for Matthew Ifield at GYLT in Bengaluru on 6/19/2025 at 8:00 PM	-	-	https://open.spotify.com/concert/3HiSV6VHsjZF6QchcAxKY9	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStJp06fbBfbTB7Jx5lMzLD-LkNrzxwXXbudJQci9OW5xXMCG1WYWxpIRNIQw&s=10	concerts	GYLT, 22, Hennur Bagalur Main Rd, Bengaluru, Karnataka, India
World Music Day with Blr Music Huddle	This World Music Day, we’re bringing together Bengaluru’s music community to celebrate the joy of music by creating a space to learn, listen, share, and connect.Blr Music Huddle’s fourth edition...	-	-	https://district.in/world-music-day-with-blr-music-huddle-jun21-2025/event	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSSU3BsOZlyf8wjx4qvw2bcuDtk285IEAf72HRjMxqxg&s	music	Underline Center, 3rd Floor, above Blue Tokai, #24 3rd A Cross, 1st Main Rd, Bengaluru, Karnataka, India
Let's Jam - Ultimate Musical Experience	Let’s Jam is back—and this time, it’s going to be legendary.Get ready for our most electric celebration yet, where ten phenomenal musicians and hundreds of passionate music lovers come together to...	-	-	https://www.district.in/lets-jam-ultimate-musical-experience-jun21-2025/event/	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6MAqguPJ02Z6KVeonELrcWDtbCT_IHn6T0hdHc-iIeg&s	music	Sarjapur Social, Sarjapur - Marathahalli Rd, Saket Callipolis, Rainbow Drive, Doddakannelli, Bengaluru, Karnataka, India
World Music Day: AR Rahman Tribute by Root35	World Music Day: AR Rahman Tribute by Root35﻿A Night of Soulful Sounds & Rocking RhythmsCelebrate the magic of music on World Music Day with a powerful tribute to the maestro A.R. Rahman, brought...	-	-	https://www.district.in/events/world-music-day-ar-rahman-tribute-by-root35-jun21-2025-buy-tickets	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrQpkWDCHQ5gpgB8mGeypowXQIX-yC7x0LCaNt1PPSaUZYno3MJPYW3KDXcA&s	music	Ground Floor, Hard Rock Cafe Whitefield, 40, ITPL Main Rd Unit no.G, 25 & 26, Bengaluru, Karnataka, India
Candlelight: Western Classical Music on Piano	⭐ New to India, Candlelight Concerts offer a musical experience beyond the ordinary. Join us in Bengaluru at Alliance Française de Bangalore for a captivating Candlelight: Western Classical Music...	-	-	https://liveyourcity.com/m/341961	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaa1tUmoLekp6xuyu8f-tsjbpzO8pX0JOEuI-txOfYKw&s	music	Alliance Française de Bangalore, Thimmaiah Rd, opposite UNI, Vasanth Nagar, Bengaluru, Karnataka, India
Open Mic - Music	Dive into an enchanting evening of creativity at our Open Mic for Music! Whether you`re a performer or an admirer, join us for a night filled with soulful melodies and heartfelt verses. Showcase...	-	-	https://allevents.in/bangalore/open-mic-music/3900027819377025	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREOaprsknSqtCM6q-iSfNZgMhSUkcGCfqsuiWf4Vs0Sw&s=10	music	2nd Floor, Bloom Creative Zone : ECity 1 (Neotown), Bloom Creative Zone, VJR Arcade, Lake, Neotown, opp. Maragondananahalli, Electronic City Phase I, Electronic City, Bengaluru, Karnataka, India
World Music Day: Girish And The Chronicles Live	Girish and the Chronicles, also known as GATC, is an Indian rock band from Gangtok, Sikkim, formed in 2009 by vocalist Girish Pradhan. The line-up consists of Girish Pradhan on the vocals, Yogesh...	21/06/1900 21:30	-	https://allevents.in/bangalore/world-music-day-girish-and-the-chronicles-live/3900028227647852	-	music	Hard Rock Cafe Bengaluru, 40, St Mark's Rd, Bengaluru, Karnataka, India
Indie Hub: Raw Voices and Real Music	INDIE HUBRaw Voices. Real Music.Step into a night of stripped-down soul and storytelling as Chennai’s indie gems Anjali Manoharan and Nikhil K bring their original music to Bangalore.Opening the...	-	-	https://www.district.in/events/indie-hub-raw-voices-real-music-jun21-2025-buy-tickets	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQF-hVr2P2gW79A8l3cR2SyGHs84ROaB1URHv9NbIRuxw&s	music	Zo House Bangalore (Koramangala), S-1, P-2, Anaa Infra's Signature Towers Nirguna Mandir Layout, Cauvery Colony, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka, India
Music Open Mic	Dive into an enchanting evening of creativity at our Open Mic for Music! Whether you're a performer or an admirer, join us for a night filled with soulful melodies and heartfelt verses. Showcase...	-	-	https://www.district.in/events/open-mic-music-apr26-2025-buy-tickets	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxKPGfFz_ATKMt5zNE13V9c4i1VRMVNFasNTExGTnaFA&s	music	2nd Floor, Bloom Creative Zone : ECity 1 (Neotown), Bloom Creative Zone, VJR Arcade, Lake, Neotown, opp. Maragondananahalli, Electronic City Phase I, Electronic City, Bengaluru, Karnataka, India
Indigo Indie Fest - World Music Day Edition	Indigo Indie Fest – World Music Day EditionPresented by Indigo 91.9FMCelebrate World Music Day with an evening of genre-defying indie music, vibrant energy, and unforgettable experiences. Indigo...	-	-	https://www.district.in/indigo-indie-fest-world-music-day-edition-jun21-2025/event	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeFokEZSSiN11NMFhb2ppVuhtPyHJrrwKcu63DGnYB-ZJ3CCHanL_PS0WBrw&s	music	18, Adda 1522, 1, Cambridge Rd, Halasuru, Cambridge Layout, Jogupalya, Bengaluru, Karnataka, India
Houdini Waka - The Journey of House Music	Highlights DJ Night ft DJ Houdini Waka Nonstop Music EDM Techno Afro House Commercial Mouthwatering Appetizers Cocktails and Mocktails Every Thursday, Waka becomes the weekly ritual for those who...	-	-	https://highape.com/artist/houdini-laVWQGkOLG?parent_city=bangalore	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEU2vGm5ppEHn0EvpQMWJ8JvsxiV6h3vT7QohZjsvCAg&s	music	Secret Story Bar & Kitchen, 968, 3rd & 4th Floor, 12th Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka, India
YAB V Open Call	About If you are between the ages 14 and 17, fascinated by the arts and curious about the behind-the-scenes at a museum, then this opportunity is for you! The Youth Advisory Board is a unique...	-	-	https://indianmusicexperience.org/bird-song/	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjtJHRRZ0DPtDnCl6fqrnGvMhDBQ1czkVufucLdtXk-A&s=10	music	Indian Music Experience Museum, Brigade Millenium Rd, JP Nagar 7th Phase, Bengaluru, Karnataka, India
Tour Magizhchi-round 2 Motta Maadi Music Bengaluru - Ticket9	Tour Magizhchi-round 2 Motta Maadi Music Bengaluru — a Concert event from 21 Jun 2025 at 07:00 PM onwards. Happening physically at GOOD SHEPHERD AUDITORIUM, Bengaluru. Free to attend. Register now!...	-	-	https://www.theticket9.com/event/tour-magizhchi-round-2-motta-maadi-music-bengaluru	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTP_6Und6YaNbXrxqja7vpzME-tr2CgyZ2wd9DyBKLfJJzwukwSWcojcYspihsY&s	music	GOOD SHEPHERD AUDITORIUM, SACRED HEART GIRLS HIGH SCHOOL, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India
Music & Poetry Open Mic	Looking for a platform for your first foray into the world of music or poetry performances, but worried you might break a string, lose your voice, or present to a crowd who barely knows you...	-	-	https://www.district.in/events/music-poetry-open-mic-jun28-2025-buy-tickets	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1o0gY5sNfosUfUuj1wh1EWV7XzlPwljy7KKvKUDHAGw&s	music	VHM2+FV8 THE CIRCULAR SQUARE, 24, Doddakalansandra Gubbalala gate, next to Lakshmi Vilas Bank, Navaratan Gardens, Konanakunte, Bengaluru, Karnataka, India
Marham- A Musical Poetry Evening	Catalyzed by Quirksmith, an intimate, curated journey where music and poetry come together to stir the soul.At MARHAM, we take you on an internal journey—one that moves gently through memory...	-	-	https://www.district.in/events/marham-a-musical-poetry-evening-jun22-2025-buy-tickets	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4syEvfPUYIjoKfmbd3tW26PndrBzMge88Lf_H3Vm3iA&s	music	Namma Ashram - Cafe, Yoga, Stay, Shop, Events & more, 126/5/4, Nallurahalli Main Rd, Bengaluru, Karnataka, India
Magic with Music by Kalyan	🎶✨ Abraca-GUITAR! ✨🎶Ready to witness melodies that magically hit the right note? Bloom presents Magic with Music by Kalyan — a spellbinding fusion of soulful strumming and mind-bending...	-	-	https://insider.in/magic-with-music-by-kalyan-jun28-2025/event	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAPuIIzv7K542O2cazxbPDWrNDHzSgHZfqdTsvgMMlTQ&s	music	2nd Floor, Bloom Creative Zone - Haralur, Bloom Creative Zone, S.L.R. ARCADE, Haralur Main Rd, near HSR Layout, above Happyland Hypermarket, Haralur, Bengaluru, Karnataka, India
Swaradi Live Bollywood Music Show	Get ready for an electrifying evening filled with Bollywood rhythms and pop beats as Swaradi Live brings you a soulful tribute to the legends – Arijit Singh, KK, Shankar Mahadevan, Mohit Chauhan...	-	-	https://insider.in/swaradi-live-bollywood-music-show-jun28-2025/event	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxUeStCNx2Y21HFXLNSa-zsIOtr1Uwq8fc9Cq0anwFXA&s	music	2nd Floor, Bloom Creative Zone : ECity 1 (Neotown), Bloom Creative Zone, VJR Arcade, Lake, Neotown, opp. Maragondananahalli, Electronic City Phase I, Electronic City, Bengaluru, Karnataka, India
Shaam-e-sukhan - Live Ghazal and Sufi Music	Shaam-e-sukhan is an evening filled with the soulful charm of Ghazal and Sufi music performances. Featuring the mesmerising vocals of Koyel Mukherjee, finalist at Zee: Sa Re Ga Ma Pa, along with...	-	-	https://www.district.in/events/shaamesukhan-live-ghazal-and-sufi-music-jun28-2025-buy-tickets	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPtkBS47n9Mm8vaPu2ShSy7TFa4UqEM2q4dPFIex3-Xw&s	music	31/2, 1st Floor, Artkhoj, 22nd Main Rd, R.K Colony, Marenahalli, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka, India
Malluminati: South Soul Live	Malluminati is coming back to the city.Here we bring again South Soul live, where we celebrate the essence of Mallu vibe this week for all Bengaluru Malayalee in the city.A night towards the south.	-	-	https://insider.in/malluminati-south-soul-live-jun22-2025/event	-	music	3rd floor, LUX Pub & Kitchen, 20th Main Rd, KHB Colony, 7th Block, Koramangala, Bengaluru, Karnataka, India
Answer Music Live	ABOUT VENUEPangeo offers culinary excellence, luring visitors with delectable delights. The cuisine transports diners on a global tour, satisfying diverse palates with starters, main courses, and...	-	-	https://insider.in/answer-music-live-jun28-2025/event	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2FZItTPEXY1gx_GHKe5aiAZ_6azdu5ola6cBye9FwOQ&s	music	4th floor, 171 - 172, Pangeo, Forum Rex Walk, Brigade Rd, Bengaluru, Karnataka, India
Friyay Night	Highlights DJ Night ftDJ Savio EDM and Hip Hop Music Dance Floor Non-Stop Music Ladies Night - Free Drinks For Ladies Flaunt your beautiful outfit and experience the night of glamour. BigTree...	-	-	https://highape.com/bangalore/events/friyay--daysie-mg-road-5ewaepG9wE	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEQ_mJgRGDTR6wOfrWugo5piALYPpDg2nK6x6fMuEyzw&s=10	music	Ground Floor, No. 18, Daysie (MG Road) : All Day Casual Bar, Ramanashree Arcade, Mahatma Gandhi Rd, Craig Park Layout, Bengaluru, Karnataka, India
Redroom Ft. Elecktraa & Beat Inspector	Get ready for a night of high-voltage music and electrifying vibes as Kitty Ko brings you Elecktraa x Beatinspector, live at The Lalit Ashok Bangalore. Two powerhouse names in the Indian...	-	-	https://www.district.in/events/redroom-ft-elecktraa-beat-inspector-jun20-2025-buy-tickets	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSG17KaBWlBZqLwnSsg48RVy_o2jp9WaOrQgfMw69VSKA&s	music	Kitty Ko, HOTEL, THE LALIT ASHOK, Kumara Park East, Seshadripuram, Bengaluru, Karnataka, India
Tipsyaana Shaam	Get ready for a night that touches the soul and stirs the spirit! Join us at Tipsy Bull Whitefield for Tipsyyaana Shaam – a mesmerizing Sufi Night featuring the enchanting sounds of Sukoon Wali...	-	-	https://allevents.in/bangalore/tipsyaana-shaam/3900028340345153	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRA3Aaa2k0pW2shgn-WjzunGVhHmeLFSfOuq7L3m-w6pQ&s	music	Tipsyy Bull Brewhouse And Kitchen - Whitefield, 13/4, Hoodi Main Road, Graphite India Main Rd, Signal, Bengaluru, Karnataka, India
Antakshari with KJ Latha	🎤 Antakshari with KJ Latha @ Casa Karaoke 🎶 An Evening to Sing, Shine, and Celebrate Music! Get ready for a night full of music, laughter, and unforgettable performances! Join us at Casa Karaoke...	-	-	https://allevents.in/bangalore/antakshari-with-kj-latha/3900027974299855	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2VoE8puykXJnBFnWRD9MNDnkx2VbF6icQNg-nqck84Q&s=10	music	Casa Karaoke and Art Studio, AI 1, 2nd floor, 15th Cross, 100 Feet Ring Rd, above Pizza Hut, J. P. Nagar, Bengaluru, Karnataka, India
Mile Sur Mera Tumhara	On this World Music Day NGO Astha is presenting 3 layered music concerts to respect abilities and celebrate uniqueness. Mile Sur Mera Tumhara is a heartwarming and inclusive celebration of music...	-	-	https://allevents.in/bangalore/mile-sur-mera-tumhara/3900028333806227	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjK5nIpAEfL1VLTDAkXLCf505pQAvNiZQElMEWTFF4Qw&s=10	music	Yuvaka Sangha, Yuvapatha. 4, 31st Cross, 11th Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka, India
Antakshari with KJ Latha	🎤 Antakshari with KJ Latha @ Casa Karaoke 🎶 An Evening to Sing, Shine, and Celebrate Music! Get ready for a night full of music, laughter, and unforgettable performances! Join us at Casa Karaoke...	-	-	https://allevents.in/mobile/amp-event.php?event_id=3900027974299855&slot=2025-06-21	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2VoE8puykXJnBFnWRD9MNDnkx2VbF6icQNg-nqck84Q&s=10	music	Casa Karaoke and Art Studio, AI 1, 2nd floor, 15th Cross, 100 Feet Ring Rd, above Pizza Hut, J. P. Nagar, Bengaluru, Karnataka, India
OPEN MIC - ROCK THE STAGE	"My School Of Rock Presents: ""Rock the Stage!"" Open Mic Night 🎤 Discover, Perform, Shine! 🌟 ""Rock the Stage!"" is an exhilarating Open Mic Night hosted by My School Of Rock, designed for music..."	-	-	https://allevents.in/bangalore/open-mic-rock-the-stage/3900027700388040	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTnIapGPxFhEQ8N0VEwQ2-eAlInKEmKMWmEVXoeM8jxw&s=10	music	My School Of Rock Bengaluru - Guitar, Drums, Ukulele, Music Classes & Lessons, 346, 1st F Main Rd, Sector 2, Koramangala 8th Block, Adugodi, Bengaluru, Karnataka, India
Friday Nakhra Night	Highlights DJ Night ft DJ Deep Bhamra and DJ Nikz Non-Stop Music Bollywood Music Dance Floor Great Ambience Mouth-Watering Appetizers CocktailsandMocktails Tiara Theme Night Transform your Friday...	-	-	https://highape.com/bangalore/events/friday-bollywood-ladies-night-GVrNmzaEkM	-	music	23, 1st Floor, Badmaash Koramangala, 1st Main Rd, KHB Colony, Koramangala Industrial Layout, Koramangala, Bengaluru, Karnataka, India
Live Band Ft Willington Island At Ignite Super Club	Highlights Live Band ft Willington Island and Anand Sreeraj Nonstop Music Rock Regional Music Great Ambience Mouthwatering Appetizers Cocktails and Mocktails Get ready for an explosive night of...	-	-	https://highape.com/bangalore/tags/rock	-	music	Ignite Super Club, 26, Haralur Main Rd, near HP Petrol Station, Amblipura, PWD Quarters, Ambalipura, HSR Layout, Bengaluru, Karnataka, India
Friday Night Unplugged @ Urban Solace	Friday Night Unplugged @ Urban Solace is one of the oldest experiences in Urban Solace and has been the platform for the launch of hundreds of musicians and artists with a desire to have their...	-	-	https://insider.in/friday-night-unplugged-urban-solace-jun20-2025/event	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUzK-IiVm5SGTV7kT6YFaMk9zW6iMP793mxljXOAMk_g&s	music	Urban Solace, 32, Annaswamy Mudaliar Rd, Ulsoor, Bengaluru, Karnataka, India
Matthew Ifield	Find tickets for Matthew Ifield at GYLT in Bengaluru on 6/19/2025 at 8:00 PM	-	-	https://open.spotify.com/concert/3HiSV6VHsjZF6QchcAxKY9	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStJp06fbBfbTB7Jx5lMzLD-LkNrzxwXXbudJQci9OW5xXMCG1WYWxpIRNIQw&s=10	music	GYLT, 22, Hennur Bagalur Main Rd, Bengaluru, Karnataka, India
Twilight Tunes – 2025, Mausam Mastana	"SriPrasthuthi Trust proudly presents ""Mausam Mastana"", a soul-stirring musical evening that promises to transport the audience to the golden era of Bollywood music. This enchanting program..."	-	-	https://sriprasthuthi.org/events/2025-06-22/	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCPk2QnmOcdzMh7pUs8KAlqpoSeOgzGJ7qDEHaxt85cA&s=10	music	JSS Auditorium, JSS Educational Complex, Jagadguru Sri Shivarathreeswara Circle, 1st Main Rd, near by Nethradhama Eye Hospital, 8th Block, Jayanagar, Bengaluru, Karnataka, India
Tipsyaana Shaam	Immerse yourself in an evening of divine resonance at Tipsyyaana Shaam Sufi Night at Tipsy Bull Whitefield. Let the mesmerizing voice of Hemant Raagi and his band transport you through timeless...	-	-	https://highape.com/bangalore/events/tipsyaana-shaam-4qr4eBqpWy	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBKz69LsmJPmx94VYFssEOK3lYi5ZyZXihrDahYTokRQ&s	music	Tipsyy Bull Brewhouse And Kitchen - Whitefield, 13/4, Hoodi Main Road, Graphite India Main Rd, Signal, Bengaluru, Karnataka, India
Rock Around The World ft. The Adhir Punja Project	Rock Around The World Ft. The Adhir Punja ProjectThe Adhir Punja Project is who they are! Performing well-known English, Hindi, Tamil, and Kannada songs in their own distinctive style. Always...	-	-	https://www.district.in/events/rock-around-the-world-ft-the-adhir-punja-project-jun28-2025-buy-tickets	-	music	Hard Rock Cafe Bengaluru, 40, St Mark's Rd, Bengaluru, Karnataka, India
Trending Thursday Ft Martin Dsouza	Highlights DJ Night ft Martin DSouza Non-Stop Music EDM TechnoNight Dance Floor Mouth-Watering Appetizers CocktailsandMocktails Get ready for an epic night and fun!Were thrilled to feature the...	-	-	https://highape.com/bangalore/events/mad-thursday-ft-martin-dsouza-x-dj-roan-2arD8xgard	-	music	Happy Brew Bar & Kitchen, 5th Block, 40, 4th B Cross, Koramangala Industrial Layout, Koramangala, Bengaluru, Karnataka, India
VILEN LIVE | BANGALORE	Buzzspark & Btwon PresentsVilen Live - Bengaluru🎤 Vilen, the soulful singer-songwriter from Delhi, is all set to take the stage with his much-awaited India Tour,Known for his introspective lyrics...	-	-	https://insider.in/vilen-live-bengaluru-jun27-2025/event	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYvZgyjlP9hDPUPSWpVGFtQHKW-mZ8Fh8UwMWahZ4pkA&s	music	Ignite Super Club, 26, Haralur Main Rd, near HP Petrol Station, Amblipura, PWD Quarters, Ambalipura, HSR Layout, Bengaluru, Karnataka, India
Sundowner Raga	SUNDOWNER RAGA RETURNS 🔥Bengaluru — brace yourselves for a musical rampage!Headlining this ritual: Siva Prayojan / Raudri, Beyond Charlie, and Zeenix — who’s bringing high-energy sets to blow the...	-	-	https://insider.in/sundowner-raga-jun22-2025/event	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCXdjaG0jxuBvabo2142pDzFL_CfHwePVnRX7VRlX3QA&s	music	Kitty Ko, HOTEL, THE LALIT ASHOK, Kumara Park East, Seshadripuram, Bengaluru, Karnataka, India
Festival Friday	Highlights DJ Night ft DJ Manny Nonstop Music Bollywood Music UK Punjabi Commercial Music Vibrant Atmosphere Unstoppable Energy Mouthwatering Appetizers Cocktails and Mocktails Festival Friday...	-	-	https://highape.com/bangalore/events/festival-friday-K7rOP96yWl	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ855E0Vw-utGT6CvHvIn092pS3X73zmeWrXDIrEm8fuQ&s	music	Ginza, 27, 4th B Cross, 5th Block, Koramangala, Bengaluru, Karnataka, India
Suit And Panda	Highlights DJ Night EDM and Techno Nonstop Music Cocktails and Mocktails Great Ambeince Get ready for a night of electrifying performances featuring the sensational Suit & Panda alongside an...	-	-	https://highape.com/bangalore/events/suit-and-panda-aVWQXNPnrO	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb13DpCuxpx90IdW2wFEkgSyUHFFIY0Dg4FEEuLkWHt25jfeW66AsqDE9HVw&s	music	ZOZO THE CLUB, A-1, D Rajgopala, nagar, Sanjay Nagar Main Rd, Bengaluru, Karnataka, India
SAAZ-E-DLL by Rishab Chauhan and Group	Saaz-e-Dil – Performing Live by Rishabh Chauhan & Group – is an enchanting musical experience that takes you on a soulful journey through the world of Sufi and Qawwali melodies. Let your heart...	-	-	https://www.district.in/events/saazedll-by-rishab-chauhan-and-grp-jun21-2025-buy-tickets	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaEviwpQRp2kFJI8Zy6Zqm34rg4WxsxxNB0RprRplGjw&s	music	2nd & 3rd floor, Bloom Creative Zone - HSR, AJ Towers, #1174, Bloom Creative Zone - HSR, 24th Main Rd, above Axis Bank, Sector 2, HSR Layout, Bengaluru, Karnataka, India
Jam Eve - A Jamming Show × Open Mic	Highlights High-energy jam session and open mic Platform for singers, musicians, poets & performers A creative, welcoming space for self-expression Connect with like-minded artists and music...	-	-	https://highape.com/bangalore/places/catch-up-bangalore	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrAv4hoYDiT7IyEuZGLb_VsaVO31kYDqcK-B0ufQP-vg&s	music	CatchUp- Club, Brew House and Rooftop HSR Layout Bangalore, 253, 17th Cross Rd, 6th Sector, HSR Layout, Bengaluru, Karnataka, India
