title,description,start_date,end_date,image,link,category,location,location_link
Happy Hour Comedy Show,"🎭 Comedy Happy Hour 🎭Get ready for a laughter-packed evening! 😄 Join us for Comedy Happy Hour, where the only thing on the menu is pure, unfiltered joy. Our tagline says it all: ""We Serve Only...     https://allevents.in/bangalore/happy-hour-comedy-show/3900027819465815","Jun 22, 2:00 PM","Jun 22, 4:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHmMgJEhbm8S1L_5lVnsaZl436dElx6zV66-ApMF6upQ&s=10,https://allevents.in/bangalore/happy-hour-comedy-show/3900027819465815,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwjdsPTJm_2NAxWLklYBHX7FMlkQ9eIBegQICxAA
Brunchtime Comedy,"Brunch Comedy Show is the perfect way to kickstart your weekend, with a heavy dose of comedy that keeps you full throughout the weekend. Also check out other Comedy events in Bangalore     https://allevents.in/bangalore/brunchtime-comedy/3900027909820656","Jun 19, 12:00 PM","Jun 19, 2:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYKWwFn8ad9WEL9DgrHGM4DqgXX_o2t7k3DV-9yPqQFw&s=10,https://allevents.in/bangalore/brunchtime-comedy/3900027909820656,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwjdsPTJm_2NAxWLklYBHX7FMlkQ9eIBegQIExAA
Spoiler Alert - A Standup Comedy Solo by Anshu Mor,"Get ready to laugh and feel all the feels with Anshu Mor in his brand-new standup comedy solo show, ""Spoiler Alert!"" Join him with your family and friends as he explores the ups and downs of...     https://allevents.in/bangalore/spoiler-alert-a-standup-comedy-solo-by-anshu-mor/3900027974274125","Jun 21, 8:00 PM","Jun 22, 7:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoObGX_aCT_S3b85fctNBcxF96BQJXaLqzZa35PErX1A&s=10,https://allevents.in/bangalore/spoiler-alert-a-standup-comedy-solo-by-anshu-mor/3900027974274125,comedy,"3rd floor, #950, The Comedy Theatre - Indiranagar, Bangalore, Bayt Towers, 12th Main Rd, opposite to Araku Coffee, HAL, Indiranagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae17ed33bc717d:0xeae817199647c6ad?sa=X&ved=2ahUKEwjdsPTJm_2NAxWLklYBHX7FMlkQ9eIBegQIMxAA
Dark Jokes - A Dark Jokes Comedy Show,https://www.stubhub.com/dark-jokes-comedy-show-bengaluru-tickets-6-19-2025/event/158403325/,"Jun 20, 5:00 PM","Jun 20, 7:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRH6BF9AgZBAj4O0FE2vfzLL46iaXXwZ-R8lHMEHSUeCg&s=10,https://www.stubhub.com/dark-jokes-comedy-show-bengaluru-tickets-6-19-2025/event/158403325/,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwju9ITLm_2NAxX2BDQIHSDUBXo4ChD14gF6BAgLEAA
All Star Lineup - A Curated Stand Up Comedy Show,https://www.stubhub.com/all-star-lineup-a-curated-stand-up-comedy-show-bengaluru-tickets-6-21-2025/event/158484315/,"Jun 21, 9:00 PM","Jun 21, 11:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRH6BF9AgZBAj4O0FE2vfzLL46iaXXwZ-R8lHMEHSUeCg&s=10,https://www.stubhub.com/all-star-lineup-a-curated-stand-up-comedy-show-bengaluru-tickets-6-21-2025/event/158484315/,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwju9ITLm_2NAxX2BDQIHSDUBXo4ChD14gF6BAgbEAA
PRACTICE - A Standup Comedy Show by Manik Mahna,https://www.stubhub.com/manik-mahna-bengaluru-tickets-6-28-2025/event/158470489/,"Jun 28, 7:00 PM","Jun 28, 9:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRH6BF9AgZBAj4O0FE2vfzLL46iaXXwZ-R8lHMEHSUeCg&s=10,https://www.stubhub.com/manik-mahna-bengaluru-tickets-6-28-2025/event/158470489/,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwjskuLMm_2NAxWtPxAIHXZsGRA4FBD14gF6BAgLEAA
Best in Standup ft. Various Artists,https://www.stubhub.com/best-in-standup-bengaluru-tickets-6-20-2025/event/158403357/,"Jun 20, 8:30 PM","Jun 20, 10:30 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRH6BF9AgZBAj4O0FE2vfzLL46iaXXwZ-R8lHMEHSUeCg&s=10,https://www.stubhub.com/best-in-standup-bengaluru-tickets-6-20-2025/event/158403357/,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwjskuLMm_2NAxWtPxAIHXZsGRA4FBD14gF6BAgbEAA
GOD'S FAV IDIOT,"GOD'S FAV IDIOT A stand up comedy show by Naman Jain that is strictly based on sacchi ghatnayein aur asli dard. Also check out other Comedy events in Bangalore , Entertainment events in Bangalore     https://allevents.in/new%20delhi/bhala-manushya-ft-naman-jain/3900027786295454","May 31, 8:00 PM","Jun 22, 6:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTQEgHrkHp6rTImyles_0LmPMVgQrdA1EMEjnvnU9Gbg&s=10,https://allevents.in/new%20delhi/bhala-manushya-ft-naman-jain/3900027786295454,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwjskuLMm_2NAxWtPxAIHXZsGRA4FBD14gF6BAgrEAA
Pratyush Chaubey Live,https://www.stubhub.com/pratyush-chaubey-bengaluru-tickets-6-21-2025/event/158398762/,"Jun 21, 4:00 PM","Jun 21, 6:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrr460304Pn57QmAWEP9Ve5YiiURKM8gZQjQCTYHAVRg&s=10,https://www.stubhub.com/pratyush-chaubey-bengaluru-tickets-6-21-2025/event/158398762/,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwjskuLMm_2NAxWtPxAIHXZsGRA4FBD14gF6BAhLEAA
Inder Sahani - Live India Tour,https://www.stubhub.com/inder-chahal-bengaluru-tickets-6-22-2025/event/158052813/,"Jun 22, 6:00 PM","Jun 22, 8:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHTnUlEDDSmxaxXNzkiScL_iX4imk8uPOf3mbclHOylQ&s=10,https://www.stubhub.com/inder-chahal-bengaluru-tickets-6-22-2025/event/158052813/,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwi87JXPm_2NAxXuAtsEHU3wIac4HhD14gF6BAgDEAA
Best in Standup ft. Various Artists,https://www.stubhub.com/best-in-standup-bengaluru-tickets-6-23-2025/event/158470836/,"Jun 23, 3:00 PM","Jun 23, 5:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRH6BF9AgZBAj4O0FE2vfzLL46iaXXwZ-R8lHMEHSUeCg&s=10,https://www.stubhub.com/best-in-standup-bengaluru-tickets-6-23-2025/event/158470836/,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwi87JXPm_2NAxXuAtsEHU3wIac4HhD14gF6BAgjEAA
Best in Standup ft. Various Artists,https://www.stubhub.com/best-in-standup-bengaluru-tickets-6-25-2025/event/158470827/,"Jun 26, 3:00 PM","Jun 26, 5:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRH6BF9AgZBAj4O0FE2vfzLL46iaXXwZ-R8lHMEHSUeCg&s=10,https://www.stubhub.com/best-in-standup-bengaluru-tickets-6-25-2025/event/158470827/,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwi87JXPm_2NAxXuAtsEHU3wIac4HhD14gF6BAgrEAA
Vivek Samtani Live,"Vivek Samtani Live""Get ready for a night of unadulterated laughter with Vivek Samtani Live!Join Vivek as he takes the stage to regale you with his sharp wit, clever observations, and hilarious...     https://allevents.in/bangalore/vivek-samtani-live/3900027785913810","Jun 29, 4:30 PM","Jun 29, 8:30 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGQLI7tuVjOzpLnRoMNt-oNX6pzbcrH0_uavUouhrmUQ&s=10,https://allevents.in/bangalore/vivek-samtani-live/3900027785913810,comedy,"3rd floor, #950, The Comedy Theatre - Indiranagar, Bangalore, Bayt Towers, 12th Main Rd, opposite to Araku Coffee, HAL, Indiranagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae17ed33bc717d:0xeae817199647c6ad?sa=X&ved=2ahUKEwi87JXPm_2NAxXuAtsEHU3wIac4HhD14gF6BAgzEAA
Best in Standup ft. Various Artists,https://www.stubhub.com/best-in-standup-bengaluru-tickets-6-27-2025/event/158470829/,"Jun 27, 3:00 PM","Jun 27, 5:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRH6BF9AgZBAj4O0FE2vfzLL46iaXXwZ-R8lHMEHSUeCg&s=10,https://www.stubhub.com/best-in-standup-bengaluru-tickets-6-27-2025/event/158470829/,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwi87JXPm_2NAxXuAtsEHU3wIac4HhD14gF6BAg7EAA
Best in Standup ft. Various Artists,https://www.stubhub.com/best-in-standup-bengaluru-tickets-6-30-2025/event/158470831/,"Jun 30, 3:00 PM","Jun 30, 5:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRH6BF9AgZBAj4O0FE2vfzLL46iaXXwZ-R8lHMEHSUeCg&s=10,https://www.stubhub.com/best-in-standup-bengaluru-tickets-6-30-2025/event/158470831/,comedy,"2nd Floor, The Comedy Theatre : Church Street, Bangalore, Brigade Gardens, 205, Church St, above Indian Coffee House, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae1717757e9bbb:0x33ac1e8cff49c2af?sa=X&ved=2ahUKEwi87JXPm_2NAxXuAtsEHU3wIac4HhD14gF6BAhDEAA
Abijit Ganguly Live,Abijit Ganguly is funny. He claims he never been on Tinder. He is also very funny. He`s certain one day he`ll have six pack abs and be better looking than the handomest Bengali Bappi Lahiri. Did...     https://allevents.in/bangalore/abijit-ganguly-live/3900027786021711,"Jun 29, 5:30 PM","Jun 29, 6:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFqVpErcNAyg01PizxbnTwmtQg7ah266OqxNTzHKYVxQ&s=10,https://allevents.in/bangalore/abijit-ganguly-live/3900027786021711,comedy,"3rd floor, #950, The Comedy Theatre - Indiranagar, Bangalore, Bayt Towers, 12th Main Rd, opposite to Araku Coffee, HAL, Indiranagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae17ed33bc717d:0xeae817199647c6ad?sa=X&ved=2ahUKEwi87JXPm_2NAxXuAtsEHU3wIac4HhD14gF6BAhLEAA
Candlelight: Western Classical Music on Piano,"⭐ New to India, Candlelight Concerts offer a musical experience beyond the ordinary. Join us in Bengaluru at Alliance Française de Bangalore for a captivating Candlelight: Western Classical Music...     https://liveyourcity.com/m/341961","Jun 20, 9:00 PM","Jun 20, 9:59 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaa1tUmoLekp6xuyu8f-tsjbpzO8pX0JOEuI-txOfYKw&s,https://liveyourcity.com/m/341961,"concerts,music","Alliance Française de Bangalore, Thimmaiah Rd, opposite UNI, Vasanth Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae165d38ad14c7:0x56d04f62f3c70f33?sa=X&ved=2ahUKEwjUz7PKmv2NAxUTha8BHaSeMs8Q9eIBegQIExAA
Candlelight: Queen vs ABBA,"⭐ Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like never seen before in Bengaluru. Get your tickets now to discover the music of...     https://liveyourcity.com/m/286336","Jun 20, 5:00 PM","Jul 11, 7:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1DaMv0KFajo1zihYm3FjCReQvmpRt74Vdt-d6ISPAHg&s=10,https://liveyourcity.com/m/286336,concerts,"Alliance Française de Bangalore, Thimmaiah Rd, opposite UNI, Vasanth Nagar, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae165d38ad14c7:0x56d04f62f3c70f33?sa=X&ved=2ahUKEwjUz7PKmv2NAxUTha8BHaSeMs8Q9eIBegQIGxAA
Indie Hub: Raw Voices and Real Music,INDIE HUBRaw Voices. Real Music.Step into a night of stripped-down soul and storytelling as Chennai’s indie gems Anjali Manoharan and Nikhil K bring their original music to Bangalore.Opening the...     https://www.district.in/events/indie-hub-raw-voices-real-music-jun21-2025-buy-tickets,"Jun 21, 7:00 PM","Jun 21, 10:00 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQF-hVr2P2gW79A8l3cR2SyGHs84ROaB1URHv9NbIRuxw&s,https://www.district.in/events/indie-hub-raw-voices-real-music-jun21-2025-buy-tickets,music,"Zo House Bangalore (Koramangala), S-1, P-2, Anaa Infra's Signature Towers Nirguna Mandir Layout, Cauvery Colony, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8ae1273d5ed8489:0xdcb2c134a13bf96b?sa=X&ved=2ahUKEwigjcrRm_2NAxVJBNsEHSWuLOIQ9eIBegQIMxAA
Jam Eve - A Jamming Show × Open Mic,"Highlights High-energy jam session and open mic Platform for singers, musicians, poets & performers A creative, welcoming space for self-expression Connect with like-minded artists and music...     https://highape.com/bangalore/places/catch-up-bangalore","Jun 7, 6:30 PM","Jun 28, 9:30 PM",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrAv4hoYDiT7IyEuZGLb_VsaVO31kYDqcK-B0ufQP-vg&s,https://highape.com/bangalore/places/catch-up-bangalore,music,"CatchUp- Club, Brew House and Rooftop HSR Layout Bangalore, 253, 17th Cross Rd, 6th Sector, HSR Layout, Bengaluru, Karnataka, India",https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bae152ecf404d0f:0x57cc9839f5589dee?sa=X&ved=2ahUKEwj83pTVm_2NAxUSqJUCHei3LzU4HhD14gF6BAhLEAA
